ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
MSNF-001,Account sidebar exposes 'Missions & challenges' under Marketing and it opens the missions page,Loyalty > Missions > Access & Routing,Critical,BL-CROSS-006,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.",front_url={{FRONT_URL}}; store_id=@td(MSN_STORE_SETTINGS.store_id); missions_flag=@td(MSN_STORE_SETTINGS.setting_name),"[NAV] {{FRONT_URL}}/account
[WAIT] the account dashboard and its left sidebar navigation have rendered
[ACT] read the sidebar group headings
[ACT] click the sidebar entry labelled 'Missions & challenges'
[WAIT] the missions page has rendered its heading and its card grid","[DOM] a sidebar group labelled 'Marketing' is present and contains an entry labelled 'Missions & challenges' {OBSERVED}
[NAV] activating that entry lands on {{FRONT_URL}}/account/missions {OBSERVED}
[DOM] the sidebar entry is present in its active state once the missions page is open {OBSERVED}
[DOM] an h1 heading naming the missions feature is visible, and no dotted translation key is present in it {OBSERVED}
[DOM] a page-level description paragraph below the heading is visible {OBSERVED}","[API] exactly one loyaltyMissionProgress query fires on page load and its errors[] is empty
[CONSOLE] no unhandled JS errors or Vue warnings during navigation",Sidebar entry missing while the flag is on; entry routes to a not-found page; entry rendered outside the Marketing group; heading shows a raw translation key,None — read-only navigation,VCST-5346 | Promoted: VCST-5346 (2026-08-27),Automated
MSNF-002,"Anonymous deep link to the missions page redirects to sign-in with returnUrl, matching the orders route control",Loyalty > Missions > Access & Routing,Critical,PROPOSED-BL-AUTH-019,,"[PRE:CLEAR_SESSION]
No storefront session exists — no auth cookie and no bearer token in browser storage.
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.",front_url={{FRONT_URL}},"[NAV] {{FRONT_URL}}/account/missions
[WAIT] navigation settles on its final URL
[ACT] record the final URL
[ACT] record the identity of the rendered page
[NAV] {{FRONT_URL}}/account/orders
[WAIT] navigation settles on its final URL
[ACT] record the final URL for the control route","[NAV] the anonymous request for /account/missions ends on the sign-in route rather than a not-found page {BL}
[NAV] the resulting sign-in URL carries a returnUrl parameter that resolves back to /account/missions {BL}
[DOM] the sign-in form is visible, and the missions heading, card grid and empty-state are all absent {BL}
[NAV] the control route /account/orders redirects to the same sign-in route with its own returnUrl {OBSERVED}
[STATE] both protected account routes therefore behave identically for an anonymous visitor {BL}","[API] no loyaltyMissionProgress query and no loyalty balance query is issued while unauthenticated, so no errors[] can be raised
[NETWORK] no 401 or 403 GraphQL call is fired before the redirect",The missions route renders a 404 page while the orders route redirects — the asymmetry that proves the missions route has no auth guard; returnUrl absent; returnUrl points at the account dashboard instead of the requested route,None — no session was created,VCST-5346,Draft
MSNF-003,Signing in from the missions redirect returns the visitor to the missions page,Loyalty > Missions > Access & Routing,High,PROPOSED-BL-AUTH-019,,"[PRE:CLEAR_SESSION]
No storefront session exists. Requesting {{FRONT_URL}}/account/missions while anonymous is expected to land on the sign-in page carrying a returnUrl for that route.
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.",front_url={{FRONT_URL}}; user_email={{USER_EMAIL}}; user_password={{USER_PASSWORD}},"[NAV] {{FRONT_URL}}/account/missions
[WAIT] the sign-in form has rendered with a returnUrl parameter in the address bar
[ACT] type {{USER_EMAIL}} into the sign-in email input
[ACT] type {{USER_PASSWORD}} into the sign-in password input
[ACT] click 'Sign in'
[WAIT] authentication completes and the browser settles on its post-login route","[NAV] the post-login route is {{FRONT_URL}}/account/missions rather than the generic account dashboard {BL}
[DOM] the mission card grid is visible after the redirect, with no second manual navigation {SPEC}
[STATE] the session is authenticated as the account bound to {{USER_EMAIL}} {BL}","[API] loyaltyMissionProgress fires after authentication and returns a non-empty items collection with an empty errors[]
[CONSOLE] no unhandled JS errors during the redirect",Post-login lands on the account dashboard and discards returnUrl; the missions page renders its empty state because the query fired before the token was attached; the returnUrl is dropped on a validation retry,Sign out through the account-menu popup in the top header,VCST-5346,Draft
MSNF-004,Missions feature flag off removes the sidebar entry and the route renders no missions,Loyalty > Missions > Access & Routing,Critical,BL-CROSS-006,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
REQUIRES AN ADMIN TOGGLE. Before execution, set @td(MSN_STORE_SETTINGS.setting_name) to false for store @td(MSN_STORE_SETTINGS.store_id) in the Admin store settings under the @td(MSN_STORE_SETTINGS.setting_group) group, leaving @td(MSN_STORE_SETTINGS.base_setting_name) true. The observed live value of the flag is @td(MSN_STORE_SETTINGS.missions_enabled), and the platform default is @td(MSN_STORE_SETTINGS.platform_default). The toggle MUST be restored in Cleanup or every other case in this suite is invalidated.",front_url={{FRONT_URL}}; store_id=@td(MSN_STORE_SETTINGS.store_id); missions_flag=@td(MSN_STORE_SETTINGS.setting_name); platform_default=@td(MSN_STORE_SETTINGS.platform_default),"[NAV] {{FRONT_URL}}/account
[WAIT] the account dashboard and its sidebar have rendered
[ACT] read every entry in the account sidebar
[NAV] {{FRONT_URL}}/account/missions
[WAIT] navigation settles on its final URL","[DOM] no entry labelled 'Missions & challenges' is present anywhere in the account sidebar {BL}
[DOM] the missions heading, the card grid, the balance banner and the redeem banner are all absent on the direct navigation {BL}
[NAV] the direct navigation resolves to a not-found page or redirects away, and never renders a partially built missions page {BL}","[API] no loyaltyMissionProgress query is issued on either navigation, so no errors[] can be raised behind a disabled gate
[CONSOLE] no unhandled JS errors from a component mounted behind a disabled flag","Sidebar entry still present with the flag off; the route renders an empty missions page instead of not rendering, which is a guard bypass; a mission query fires despite the gate",MANDATORY — restore @td(MSN_STORE_SETTINGS.setting_name) to true for store @td(MSN_STORE_SETTINGS.store_id) and confirm the missions page renders again before releasing the lane,VCST-5346 | Promoted: VCST-5346 (2026-08-27),Automated
MSNF-005,Base loyalty switch off — does it also gate the missions page?,Loyalty > Missions > Access & Routing,Medium,BL-CROSS-006,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
HARD PRECONDITION — ISOLATION, NOT SCHEDULING: this case toggles the store-wide @td(MSN_STORE_SETTINGS.base_setting_name) setting. It MUST NOT run against a shared multi-tenant environment (e.g. vcst-qa) — 'schedule this case last' does not prevent a concurrent suite/session on the same store from observing the mid-run false state. Run only against an isolated environment (/qa-local-env) or a dedicated, non-shared store, with the toggle-off and restore-to-true performed by that environment's seeder/teardown rather than mid-suite. The live observed values on the shared env were base=@td(MSN_STORE_SETTINGS.base_loyalty_enabled) and missions=@td(MSN_STORE_SETTINGS.missions_enabled); the safety refusal to mutate them there was correct.",front_url={{FRONT_URL}}; store_id=@td(MSN_STORE_SETTINGS.store_id); base_flag=@td(MSN_STORE_SETTINGS.base_setting_name),"[NAV] {{FRONT_URL}}/account/missions
[WAIT] navigation settles and the page reaches a stable rendered state
[ACT] record which page regions have rendered","[DOM] is the mission card grid visible at all when the parent loyalty switch is off while the missions switch is on? {HYPOTHESIS}
[DOM] if the page renders, is the points-balance banner still visible with a balance, or is it suppressed with the base feature disabled? {HYPOTHESIS}
[DOM] exactly one of these holds: the mission card grid is visible in full, OR the route resolves to a not-found page or redirects away — a partially built page with a missing region is absent {BL}
[DOM] whichever way it resolves, no raw error text, stack trace or permanently spinning banner is visible to the customer {BL}","[API] whatever loyalty query is issued returns an empty errors[] rather than an unhandled server fault
[NETWORK] no 5xx on the GraphQL endpoint",An unhandled error is surfaced to the customer; the balance banner spins forever; the page renders half a layout with a missing region,"On the isolated environment: MANDATORY — the environment's own seeder/teardown restores @td(MSN_STORE_SETTINGS.base_setting_name) and @td(MSN_STORE_SETTINGS.setting_name) to true; confirm the missions page renders normally before releasing the environment. Never run this case, or leave the toggle flipped, on a shared environment.",VCST-5346,Draft
MSNF-006,Mission query failure renders the error view and 'Try again' refetches and recovers,Loyalty > Missions > Page States,Critical,BL-CROSS-011; BL-GQL-001,ECL-14.1,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.
BLOCKED ON TOOLING: this case needs a network-fault-injection primitive equivalent to Playwright's page.route(url).abort() (fail the first loyaltyMissionProgress request only, then restore) — none exists on the assigned browser-agent regression lane today (the MCP surface exposes only request/response inspection via browser_network_request(s), not interception; browser_run_code_unsafe is excluded per the real-user-interaction rule). Do not execute until such a probe ships (candidate: extend layout-runner.ts's CDP session, which already intercepts for [THROTTLE], with a [PROBE:NETFAULT] primitive).",front_url={{FRONT_URL}},"[ACT] arrange for the first loyaltyMissionProgress request from this page to fail
[NAV] {{FRONT_URL}}/account/missions
[WAIT] the page settles out of its loading state
[ACT] record the rendered failure surface
[ACT] restore normal network conditions for the lane
[ACT] click 'Try again' in the failure surface
[WAIT] the page settles out of its loading state a second time","[DOM] on failure an error empty-view containing a 'Try again' control is visible {SPEC}
[DOM] the visible error copy communicates a failure and is textually distinct from the no-missions empty state {BL}
[DOM] mission cards and the pager are absent while the error state is shown {SPEC}
[DOM] after 'Try again' the error empty-view is absent and the mission card grid is visible {SPEC}
[STATE] the recovered grid holds the same missions the account resolves normally, so the retry is a real refetch rather than a cached empty render {BL}","[API] exactly one additional loyaltyMissionProgress request is issued per 'Try again' click, and the successful one returns an empty errors[]
[CONSOLE] the failure is handled — no unhandled promise rejection is logged",Blank page or an endless skeleton instead of an error view; 'Try again' is inert and issues no new request; the error view is byte-identical to the empty state so a real outage reads as no missions,Restore normal network conditions for the lane,VCST-5346,Draft
MSNF-007,No missions available renders a dedicated empty state distinct from the error state,Loyalty > Missions > Page States,High,BL-CROSS-011,ECL-3.1,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.
BLOCKED ON DATA — no fixture yields an account for which loyaltyMissionProgress returns zero items. The seeded missions are published and public, so every signed-in customer on store @td(MSN_STORE_SETTINGS.store_id) resolves roughly 14 of them. Reaching this state needs a store with the missions flag on and no published public missions, or a customer scoped to such a store. Report BLOCKED with this reason unless that fixture exists at execution time.",front_url={{FRONT_URL}}; store_id=@td(MSN_STORE_SETTINGS.store_id),"[NAV] {{FRONT_URL}}/account/missions
[WAIT] the page settles out of its loading state
[ACT] record the rendered empty surface for comparison against the failure surface of the error-state case in this suite","[DOM] an empty-view stating that there are no missions is visible, with mission cards and the pager absent {SPEC}
[DOM] the visible empty-view copy differs from the query-failure copy, so an outage cannot be mistaken for an empty catalogue {BL}
[DOM] no 'Try again' control is present, because nothing failed {SPEC}
[DOM] the points-balance banner and the redeem banner are still visible above the empty-view {SPEC}","[API] loyaltyMissionProgress returns HTTP 200 with an empty items collection and an empty errors[]
[CONSOLE] no unhandled JS errors",Empty state and error state render identical copy; the whole page including the balance banner disappears when there are no missions; a 'Try again' control appears on a successful empty response,None — read-only,VCST-5346,Draft
MSNF-008,Balance-banner failure degrades gracefully and the mission list still renders,Loyalty > Missions > Page States,High,BL-CROSS-011,ECL-14.1,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.
BLOCKED ON TOOLING: this case needs a network-fault-injection primitive (fail only the points-balance request, leave mission-progress healthy) — none exists on the assigned browser-agent regression lane today; see MSNF-006's precondition for the same named gap and candidate fix.",front_url={{FRONT_URL}},"[ACT] arrange for the loyalty points-balance request to fail while leaving the mission-progress request healthy
[NAV] {{FRONT_URL}}/account/missions
[WAIT] the page settles out of its loading state","[DOM] the mission card grid is fully visible despite the balance failure {BL}
[DOM] the balance banner is either hidden or shows a contained fallback, and no permanently spinning skeleton is visible {BL}
[DOM] no raw error text, GraphQL message or stack frame is visible anywhere on the page {BL}
[DOM] the page-level error empty-view is absent — one failed side query must not blank the whole page {SPEC}","[API] the loyaltyMissionProgress request still returns HTTP 200 with an empty errors[]
[CONSOLE] the balance failure is caught — no unhandled promise rejection",The whole page falls into the error state because a secondary query failed; the balance banner is stuck on a skeleton; raw GraphQL error text is rendered in the banner,Restore normal network conditions for the lane,VCST-5346,Draft
MSNF-009,Points-balance banner shows the balance and its points-history control navigates,Loyalty > Missions > Page States,Medium,BL-GQL-003,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.",front_url={{FRONT_URL}},"[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered at least one card and no loading skeleton is visible
[ACT] read the balance value rendered in the banner
[ACT] click the points-history control in the balance banner
[WAIT] the points-history destination has rendered","[DOM] a numeric points balance is visible in the banner, with no dotted translation key and no 'NaN' present {OBSERVED}
[MATH] the balance rendered in the banner = the balance the loyalty points query returned for this account {BL}
[NAV] the points-history control navigates to the points-history route and that page renders {OBSERVED}","[API] the loyalty balance query returns HTTP 200 with an empty errors[]
[CONSOLE] no unhandled JS errors","Banner renders 'NaN', a blank value or a raw key; the history control is inert; the history route resolves to a not-found page",Navigate back to {{FRONT_URL}}/account/missions,VCST-5346 | Promoted: VCST-5346 (2026-08-27),Automated
MSNF-010,Redeem banner offers an actionable call to action that reaches the redeem catalogue,Loyalty > Missions > Page States,High,PROPOSED-BL-LOY-016,,"[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:USER_DEFAULT]
Store @td(MSN_STORE_SETTINGS.store_id) has @td(MSN_STORE_SETTINGS.setting_name)=true and @td(MSN_STORE_SETTINGS.base_setting_name)=true. The loyalty missions fixture set is seeded, so this account resolves roughly 14 published public missions through loyaltyMissionProgress.
Design reference: the missions page frame specifies a redeem banner whose call to action takes the customer to the redeem catalogue. The storefront locale bundles carry a redeem-banner catalogue key in every shipped language.",front_url={{FRONT_URL}},"[NAV] {{FRONT_URL}}/account/missions
[WAIT] the mission card grid has rendered at least one card and no loading skeleton is visible
[ACT] read the static redeem banner rendered above the card grid
[ACT] click the redeem banner's call-to-action control
[WAIT] navigation settles on its destination","[DOM] an actionable call-to-action control is present in the redeem banner, rather than banner copy alone {SPEC}
[NAV] activating it navigates to the redeem catalogue route and that page renders its product grid {SPEC}
[DOM] the control's label is resolved copy, and no dotted translation key is present in it {SPEC}","[NETWORK] no 4xx or 5xx on the destination route, and any GraphQL call it makes returns an empty errors[]
[CONSOLE] no unhandled JS errors on activation","The redeem banner renders as inert decoration with no clickable call to action, so a translation key that ships in every locale bundle is referenced by no component and the designed action is unreachable; the control is present but navigates nowhere",Navigate back to {{FRONT_URL}}/account/missions,VCST-5346,Draft
