"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"REV-SF-001","Reviews widget renders on the product page when reviews exist or feedback is available","Storefront > Product Page > Reviews","High","BL-CR-010","","Manual/browser (playwright-chrome). CustomerReviewsEnabled=true on B2B-store. Uses the seeded REVIEW_PRODUCT (run `npm run seed:reviews`) which has approved reviews.","frontUrl={{FRONT_URL}}; store={{STORE_ID}}; slug=@td(REVIEW_PRODUCT.slug)","[NAV] Open {{FRONT_URL}}/@td(REVIEW_PRODUCT.slug) (the seeded product with approved reviews)
[ACT] Scroll to below the product description","[STATE] The ""Feedback"" reviews widget renders below the product description
[STATE] Each review shows author name, date, star rating, text, and an image carousel when images exist
[STATE] Average product rating / star summary is shown","[EVIDENCE] Screenshot the reviews widget; note where it is mounted (PDP body vs a tab)","widget absent on a product that has approved reviews","","vc-frontend product-reviews.vue","manual"
"REV-SF-002","Leave feedback button hidden for anonymous visitors","Storefront > Product Page > Reviews","High","BL-CR-008","ECL-6.1","Manual/browser (playwright-chrome). Not logged in. The button is gated by isAuthenticated.","frontUrl={{FRONT_URL}}","[NAV] As an anonymous visitor open a product page
[ACT] Locate the reviews widget","[STATE] The ""Leave feedback"" button is NOT shown (isAuthenticated=false gate)
[STATE] Existing approved reviews are still readable","","anonymous visitor sees the Leave feedback button / review form","","vc-frontend product-reviews.vue (isAuthenticated gate)","manual"
"REV-SF-003","Leave feedback button hidden for a logged-in user without a completed order","Storefront > Product Page > Reviews","High","BL-CR-002; BL-CR-009","","Manual/browser (playwright-chrome). Log in as a user who has NOT purchased the target product (canLeaveFeedback=false).","frontUrl={{FRONT_URL}}; buyer=USER2","[NAV] Log in as a user with no completed order for the target product
[NAV] Open that product page","[STATE] The ""Leave feedback"" button is NOT shown (canLeaveFeedback=false: no completed order)","[STOREFRONT] Mirrors REV-GQL-010 (canLeaveFeedback false, not purchased) at the UI layer","the button appears for a user who never purchased the product","","vc-frontend product-reviews.vue (feedbackAvailable gate)","manual"
"REV-SF-004","Leave feedback button hidden after the user has already reviewed the product","Storefront > Product Page > Reviews","Medium","BL-CR-004; BL-CR-009","","Manual/browser (playwright-chrome). Buyer already left one review for the product.","frontUrl={{FRONT_URL}}; buyer=USER","[NAV] Log in as a buyer who already reviewed a purchased product (create one first if needed, then reload)
[NAV] Open that product page","[STATE] The ""Leave feedback"" button is NOT shown (canLeaveFeedback=false: already reviewed)","[STOREFRONT] Mirrors REV-GQL-011","the button reappears, allowing a second review","[NOTE] Delete any review created for setup via admin","vc-frontend product-reviews.vue","manual"
"REV-SF-005","Leave feedback + submit: eligible buyer submits a review, gets confirmation, review is pending moderation","Storefront > Product Page > Reviews","Critical","BL-CR-001; BL-CR-013","","Manual/browser (playwright-chrome). Log in as a buyer with a completed order for the product and no prior review (canLeaveFeedback=true).","frontUrl={{FRONT_URL}}; buyer=USER","[NAV] Log in as the eligible buyer (USER=John, has a Completed order for the product) and open that product page
[ACT] Locate the review form in the FEEDBACK widget (on theme 2.51 the form renders INLINE for eligible buyers — no separate ""Leave feedback"" button; older themes may show a ""Leave feedback"" button that opens it)
[ACT] Observe the Submit button while rating=0 and the comment is empty
[ACT] Set a star rating and enter comment text
[ACT] Click Submit","[STATE] The review form is available (inline for the eligible buyer, or via a ""Leave feedback"" button if the product already has reviews)
[STATE] Submit is disabled while rating=0 or comment empty (client-side guard); enabled once both are set
[STATE] After submit the form is replaced by the confirmation (verified live, theme 2.51): ""Your feedback has been successfully submitted and is awaiting confirmation. Thank you!""
[STATE] The new review is NOT immediately visible in the list (status New, awaiting moderation)","[ADMIN] The submitted review appears in admin Rating and reviews with Status = New","review shows on the PDP immediately without moderation; submit enabled with empty rating/text","[NOTE] Delete the created review via admin Rating and reviews after verification","vc-frontend product-reviews.vue submitReview","manual"
"REV-SF-006","Review form image upload (VcFileUploader, review-images scope)","Storefront > Product Page > Reviews","Low","BL-CR-007","","Manual/browser (playwright-chrome). Eligible buyer, review form open.","frontUrl={{FRONT_URL}}; buyer=USER","[ACT] In the open review form upload 1-2 images via the file uploader
[ACT] Remove one image before submitting
[ACT] Submit the review with the remaining image","[STATE] Uploaded images appear as removable thumbnails
[STATE] The removed image is gone; submit still available
[STATE] Submission succeeds","[EVIDENCE] Screenshot the uploader with thumbnails","upload fails silently; removed image still submitted","[NOTE] Delete the created review via admin after verification","vc-frontend product-reviews.vue VcFileUploader","manual"
"REV-SF-007","Reviews list — sort by date and pagination (5 per page)","Storefront > Product Page > Reviews","Low","BL-CR-010","ECL-9.1","Manual/browser (playwright-chrome). Uses the seeded REVIEW_PRODUCT (6 approved reviews → page 1 = 5, page 2 = 1). Run `npm run seed:reviews`. Verified live on theme 2.51.","frontUrl={{FRONT_URL}}; slug=@td(REVIEW_PRODUCT.slug); approved=@td(REVIEW_PRODUCT.approved_count)","[NAV] Open {{FRONT_URL}}/@td(REVIEW_PRODUCT.slug) (seeded product, 6 approved reviews)
[ACT] Change the sort-by-date selector (new to old / old to new)
[ACT] Navigate to page 2","[STATE] Review order updates according to the selected sort
[STATE] Pagination shows 5 reviews per page; page 2 loads the next set","","sort control does not reorder; more than 5 reviews render on one page","","vc-frontend product-reviews.vue (PAGE_SIZE=5, sortByDate)","manual"
"REV-SF-008","Approved review appears on the product page after moderation (end-to-end)","Storefront > Product Page > Reviews","High","BL-CR-013; BL-CR-010","","Manual/browser (playwright-chrome + admin). Cross-layer: submit -> approve -> visible.","frontUrl={{FRONT_URL}}; buyer=USER; adminUser=ADMIN_DEFAULT","[NAV] Buyer submits a review (REV-SF-005); confirm it is not yet visible
[NAV] Admin approves it in Rating and reviews
[NAV] Reload the product page as any visitor","[STATE] The approved review is now visible with the submitted rating and text
[STATE] The product average rating reflects the new approved review","[ADMIN] Full submit -> New -> Approve -> published loop across storefront + admin","approved review still hidden on the PDP after approval","[NOTE] Delete the created review via admin after verification","vc-frontend product-reviews.vue; vc-module-customer-review approve","manual"
"REV-SF-009","Product rating summary renders on catalog card and PDP","Storefront > Catalog > Rating","Low","BL-CR-016","","Manual/browser (playwright-chrome). Product with approved reviews.","frontUrl={{FRONT_URL}}","[NAV] Open the catalog listing and the PDP for a product with approved reviews","[STATE] Star rating summary renders on the product card and on the PDP
[STATE] The displayed stars match the numeric average (approved-only)","[EVIDENCE] Screenshot the card + PDP rating","rating summary missing or inconsistent between card and PDP","","vc-frontend product-rating.vue","manual"
"REV-SF-010","Reviews widget mount location and disabled-feature behavior","Storefront > Product Page > Reviews","Medium","BL-CR-017","","Manual/browser (playwright-chrome). Confirms where the widget mounts and behavior when the feature is off. Do NOT flip the store setting here (see REV-ADM-008).","frontUrl={{FRONT_URL}}","[NAV] Open a product page with the feature enabled
[ACT] Confirm the reviews widget location on the PDP","[STATE] The reviews widget is a full-width ""FEEDBACK"" card mounted INLINE in the PDP body (main/left product column, directly below the Description block) — NOT a tab, accordion, or sidebar. A top-of-PDP star summary also renders next to the SKU (verified on theme 2.51)
[STATE] With CustomerReviewsEnabled=false (a disabled env) the FEEDBACK widget/form does not render","[EVIDENCE] Screenshot the widget location","widget renders while the feature is disabled","","vc-frontend product-reviews.vue; StorefrontUserGuide review-products","manual"
