ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
GQL-005,xCart - Get or Create Cart via Query,GraphQL > xCart,Critical,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"User authenticated with valid token; store configured; GraphiQL UI accessible at {{BACK_URL}}/ui/graphiql","storeId={{STORE_ID}}; currencyCode=""USD""; cultureName=""en-US""; user_email={{USER_EMAIL}}; user_password={{USER_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token grant_type=password&scope=offline_access&username={{USER_EMAIL}}&password={{USER_PASSWORD}}&storeId={{STORE_ID}} → save bearer token
[NAV] {{BACK_URL}}/ui/graphiql
[WAIT] GraphiQL editor loaded
[ACT] Click ""Headers"" button (right tab in bottom panel — NOT ""Variables"" which is the left/default tab) → set auth token in Headers editor using execCommand('insertText') on the Headers textarea (see graphiql-interaction.md § Setting Auth Token) → take screenshot to verify token is visible in Headers panel
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type query: query { cart(storeId: ""{{STORE_ID}}"" currencyCode: ""USD"" cultureName: ""en-US"") { id name itemsCount items { id productId quantity } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — save cart id","[RESPONSE] Response panel shows data without error banner
[DATA] data.cart object returned (auto-created if none existed)
[DATA] data.cart.id is non-empty string
[DATA] Cart id matches UUID format
[ERRORS] No errors[] in response","[ROUNDTRIP] Clear editor → type same cart query → execute → same cart returned
[ADMIN] Cart appears in Admin order management
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; data.cart null; cart id empty; subsequent cart query returns different cart; GraphiQL shows auth error (missing/invalid token)","delete cart via removeCart mutation",xAPI,Automated
GQL-006,xCart - Add Item to Cart Mutation,GraphQL > xCart,Critical,BL-GQL-001; BL-GQL-003; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart created from GQL-005; product ID known; auth header set in GraphiQL","cartId from GQL-005; productId={{TEST_SKU}}; quantity=2","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[SETUP] Get userId: query { me { id } } → save as <USER_ID>
[ACT] Type mutation: mutation { addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" cartId: ""<CART_ID>"" productId: ""{{TEST_SKU}}"" quantity: 2 currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount items { id productId quantity listPrice { amount } } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify item added","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] itemsCount = 1 (or incremented by 1 if cart had items)
[DATA] items[] contains entry with productId = {{TEST_SKU}}
[DATA] items[0].quantity = 2
[MATH] items[0].listPrice.amount > 0","[ROUNDTRIP] Clear editor → type cart query → execute → item present
[ADMIN] Line item visible in Admin cart view
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; itemsCount not incremented; quantity wrong; listPrice.amount = 0 or null; productId mismatch","remove item from cart via removeCartItem mutation in GraphiQL",xAPI,Automated
GQL-007,xCart - Update Cart Item Quantity,GraphQL > xCart,High,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart with items from GQL-006; lineItemId known; auth header set in GraphiQL","cartId from GQL-005; lineItemId from GQL-006; newQuantity=5","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { changeCartItemQuantity(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" cartId: ""<CART_ID>"" lineItemId: ""<LINE_ITEM_ID>"" quantity: 5 currencyCode: ""USD"" cultureName: ""en-US"" }) { id items { id quantity } subTotal { amount } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify quantity and totals","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] items[0].quantity = 5
[MATH] subTotal.amount = items[0].listPrice.amount × 5 (within rounding tolerance)","[ROUNDTRIP] Clear editor → type cart query → execute → quantity = 5
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; quantity still 2; subtotal not recalculated; GraphiQL shows auth error","remove item or delete cart",xAPI,Automated
GQL-008,xCart - Remove Item from Cart,GraphQL > xCart,High,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart with items; lineItemId known; auth header set in GraphiQL","cartId; lineItemId","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { removeCartItem(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" cartId: ""<CART_ID>"" lineItemId: ""<LINE_ITEM_ID>"" currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount items { id } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify item removed","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] itemsCount decremented by 1
[DATA] Removed item id no longer in items[]
[DATA] Cart remains valid (id still present)
[MATH] Totals recalculated (subTotal lower if items remain)","[ROUNDTRIP] Clear editor → type cart query → execute → item absent
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; itemsCount unchanged; removed item still in items[]; cart becomes null after removal","delete cart if empty",xAPI,Automated
GQL-009,xCart - Set Shipping Address,GraphQL > xCart,Critical,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1; ECL-8.1,"Cart with items; valid address available; auth header set in GraphiQL","cartId; address: city=""@td(ADDR_NY.city)"" state=""@td(ADDR_NY.state)"" zip=""@td(ADDR_NY.zip)"" country=""US""","[SETUP] Get userId: query { me { id } } → save as <USER_ID>
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { addOrUpdateCartShipment(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" currencyCode: ""USD"" cultureName: ""en-US"" shipment: { deliveryAddress: { city: ""New York"" countryCode: ""US"" countryName: ""United States"" firstName: ""Test"" lastName: ""User"" line1: ""123 Test St"" postalCode: ""10001"" regionId: ""NY"" regionName: ""New York"" } } }) { id shipments { deliveryAddress { city countryCode line1 postalCode regionName } } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify address saved
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type cart query to confirm shipping info
[GQL] Click Execute (▶) or Ctrl+Enter
[READ] Read response — verify address fields on shipment","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] Shipping address saved on cart shipment
[DATA] City, state, zip, country populated and match input
[DATA] No validation errors for valid address
[DATA] Cart ready for shipping method selection (availableShippingMethods non-empty)","[ROUNDTRIP] Cart query confirms shipment with address fields populated
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; address fields null after mutation; validationErrors on shipment; availableShippingMethods empty after address set","delete cart after test",xAPI,Automated
GQL-010,xCart - Apply Coupon Mutation,GraphQL > xCart,High,BL-GQL-001; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart with items; valid coupon code ""TESTCOUPON"" configured; auth header set in GraphiQL","cartId; couponCode=""TESTCOUPON""; invalidCoupon=""BADCODE999""","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { addCoupon(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" cartId: ""<CART_ID>"" couponCode: ""TESTCOUPON"" currencyCode: ""USD"" cultureName: ""en-US"" }) { id coupons { code isAppliedSuccessfully } discountTotal { amount } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify coupon applied
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation with invalid coupon: mutation { addCoupon(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" cartId: ""<CART_ID>"" couponCode: ""BADCODE999"" currencyCode: ""USD"" cultureName: ""en-US"" }) { id coupons { code isAppliedSuccessfully } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[READ] Read response — verify appropriate error","[RESPONSE] Response panel shows data without error banner
[ERRORS] errors[] present and empty (BL-GQL-001)
[DATA] coupons[] contains entry with code=""TESTCOUPON""
[DATA] isAppliedSuccessfully = true
[MATH] discountTotal.amount > 0
[DATA] Invalid coupon returns structured error or isAppliedSuccessfully = false (not a 500)","[ROUNDTRIP] Clear editor → type cart query → execute → coupon still applied
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty on valid coupon; isAppliedSuccessfully = false for valid code; discountTotal = 0 after successful apply; GraphiQL shows error banner on invalid coupon","remove coupon from cart via removeCoupon mutation in GraphiQL; delete cart",xAPI,Automated
GQL-017,xCart - Full Checkout Flow via GraphQL,GraphQL > xCart,Critical,BL-GQL-001; BL-GQL-002; BL-GQL-003; BL-GQL-004,ECL-14.1; ECL-2.1,"User authenticated; products available with known SKU; payment and shipping configured; GraphiQL UI loaded with auth header set","storeId={{STORE_ID}}; productId={{TEST_SKU}}; paymentMethodCode from config","[SETUP] Get userId: query { me { id } } → save as <USER_ID>
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type cart query: query { cart(storeId: ""{{STORE_ID}}"" currencyCode: ""USD"" cultureName: ""en-US"") { id } } → Execute → Read response → save cartId
[ACT] Clear editor → type addItem mutation: mutation { addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" productId: ""{{TEST_SKU}}"" quantity: 1 currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount } } → Execute → Read response → verify itemsCount=1; save cart id as <CART_ID>
[ACT] Clear editor → type addOrUpdateCartShipment with address and method (MUST include price matching rate — see order-creation-matrix.md § GraphQL xAPI Checkout Flow): mutation { addOrUpdateCartShipment(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" currencyCode: ""USD"" cultureName: ""en-US"" shipment: { shipmentMethodCode: ""FixedRate"" shipmentMethodOption: ""Ground"" price: 150 deliveryAddress: { city: ""New York"" countryCode: ""US"" countryName: ""United States"" firstName: ""Test"" lastName: ""User"" line1: ""123 Test St"" postalCode: ""10001"" regionId: ""NY"" regionName: ""New York"" } } }) { id } } → Execute → Read response → verify address saved
[ACT] Clear editor → type addOrUpdateCartPayment: mutation { addOrUpdateCartPayment(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" currencyCode: ""USD"" cultureName: ""en-US"" payment: { paymentGatewayCode: ""DefaultManualPaymentMethod"" } }) { id } } → Execute → Read response
[ACT] Clear editor → type createOrderFromCart mutation: mutation { createOrderFromCart(command: { cartId: ""<CART_ID>"" }) { id number status } } → Execute → Read response → save orderId
[WAIT] Measure total elapsed time across all mutations","[ERRORS] Each mutation: errors[] present and empty (BL-GQL-001)
[DATA] Cart totals update correctly after each addItem/address/shipping step
[MATH] Shipping rates > 0 in availableShippingMethods
[DATA] Order created with id, number, status = ""New"" or ""Processing""
[DATA] End-to-end flow completes in < 30 seconds total","[ROUNDTRIP] Clear editor → type orders query → execute → new order appears
[ADMIN] Order visible in Admin
[CONSOLE] No JS errors in GraphiQL throughout flow","Any mutation returning errors[] non-empty in response panel; cart totals not updating; availableShippingMethods empty; order not created; total time > 30s","cancel/delete test order via Admin API",xAPI,Automated
GQL-021,xCart - Cart Uses Live Price After Admin Price Change (Not Cached Index),GraphQL > xCart > Cross-Domain,Critical,BL-GQL-001; BL-GQL-003; BL-GQL-004,ECL-14.1; ECL-2.1,"Authenticated user; product with known price; Admin API accessible; GraphiQL UI loaded with auth header set","productId={{TEST_SKU}}; priceListId from Admin; originalPrice (recorded); newPrice (different from original)","[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type products query for {{TEST_SKU}} → Execute → Read response → record as originalPrice
[ACT] Change {{TEST_SKU}} price via: PUT {{BACK_URL}}/api/pricing/pricelists/<priceListId>/prices with newPrice
[WAIT] Wait 2 seconds
[SETUP] Get userId: query { me { id } } → save as <USER_ID>
[ACT] Clear editor → type addItem mutation: mutation { addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" productId: ""{{TEST_SKU}}"" quantity: 1 currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount } } → Execute → save cart id as <CART_ID>
[ACT] Clear editor → type cart query: query { cart(storeId: ""{{STORE_ID}}"" cartId: ""<CART_ID>"") { items { productId listPrice { amount } placedPrice { amount } } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[READ] Read response — compare placedPrice against newPrice","[ERRORS] errors[] present and empty on addItem (BL-GQL-001)
[DATA] cart items[0].placedPrice.amount = newPrice (not originalPrice)
[DATA] cart items[0].listPrice.amount = newPrice
[DATA] No mixed pricing: all monetary fields on line item use newPrice
[DATA] BL-GQL-003: Cart resolves live price, not stale index","[ROUNDTRIP] Clear editor → type cart query again → execute → same prices
[ADMIN] Admin pricing UI reflects new price
[CONSOLE] No JS errors in GraphiQL","errors[] non-empty in response panel; placedPrice = originalPrice (stale cache); mixed pricing on line item; REST price update returns non-200","restore original price via PUT {{BACK_URL}}/api/pricing/pricelists/<priceListId>/prices; delete test cart","Coverage Gap Analysis BL-CROSS-002",Generated
GQL-023,xCart - Price Update Reflected on Re-query After Admin Change,GraphQL > xCart > Cross-Domain,Critical,BL-GQL-001; BL-GQL-003; BL-GQL-004,ECL-14.1; ECL-2.1,"Cart with existing item at known price; Admin API accessible; GraphiQL UI loaded with auth header set","cartId (with item); lineItemProductId={{TEST_SKU}}; originalPlacedPrice; newPrice","[SETUP] Get userId: query { me { id } } → save as <USER_ID>
[ACT] Clear editor → type cart query: query { cart(storeId: ""{{STORE_ID}}"" currencyCode: ""USD"" cultureName: ""en-US"") { id } } → Execute → save cartId
[ACT] Clear editor → type addItem mutation: mutation { addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" productId: ""{{TEST_SKU}}"" quantity: 1 currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount } } → Execute → save cart id as <CART_ID>
[ACT] Clear editor → type cart query → Execute → Read response → record items[0].placedPrice.amount as originalPlacedPrice
[ACT] Change {{TEST_SKU}} price via: PUT {{BACK_URL}}/api/pricing/pricelists/<priceListId>/prices with newPrice
[ACT] Clear editor → type same cart query: query { cart(storeId: ""{{STORE_ID}}"" cartId: ""<CART_ID>"") { items { productId placedPrice { amount } listPrice { amount } } subTotal { amount } } }
[GQL] Click Execute (▶) or Ctrl+Enter
[READ] Read response — compare placedPrice before and after price change","[ERRORS] errors[] present and empty on mutations (BL-GQL-001)
[DATA] items[0].placedPrice.amount = newPrice (not originalPlacedPrice)
[MATH] subTotal.amount recalculated = newPrice × quantity
[DATA] No stale/cached price persisted in cart
[DATA] BL-GQL-003 + BL-CROSS-002: Cart uses live price regardless of index state","[ROUNDTRIP] Re-execute cart query → prices consistent
[ADMIN] Admin cart view reflects new price on line item
[CONSOLE] No JS errors in GraphiQL","items[0].placedPrice = originalPlacedPrice (P0 violation: stale cached price); subtotal not recalculated; errors[] non-empty on re-query","restore original price; delete cart","Coverage Gap Analysis BL-CROSS-002",Generated
GQL-026,xCart - Cart Invalidated After Order Creation (No Reuse),GraphQL > xCart > Cross-Domain,Critical,"BL-GQL-001; BL-GQL-004; BL-CROSS-010","ECL-14.1; ECL-2.1","User authenticated; cart fully configured and converted to order via createOrderFromCart; orderId and cartId both known; auth header set in GraphiQL","storeId={{STORE_ID}}; cartId=<converted cart UUID>; orderId=<created order UUID>; productId={{TEST_SKU}}; user_email={{USER_EMAIL}}; user_password={{USER_PASSWORD}}","[AUTH] POST {{BACK_URL}}/connect/token grant_type=password&scope=offline_access&username={{USER_EMAIL}}&password={{USER_PASSWORD}}&storeId={{STORE_ID}} → save bearer token
[NAV] {{BACK_URL}}/ui/graphiql
[WAIT] GraphiQL editor loaded
[ACT] Click ""Headers"" button (right tab in bottom panel — NOT ""Variables"" which is the left/default tab) → set auth token in Headers editor using execCommand('insertText') on the Headers textarea (see graphiql-interaction.md § Setting Auth Token) → take screenshot to verify token is visible in Headers panel
[SETUP] Get userId: query { me { id } } → save as <USER_ID>
[SETUP] Add item (see order-creation-matrix.md § GraphQL xAPI Checkout Flow): mutation { addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" productId: ""{{TEST_SKU}}"" quantity: 1 currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount } } → save cart id as <CART_ID>
[SETUP] Set shipment (MUST include price matching rate — see order-creation-matrix.md): mutation { addOrUpdateCartShipment(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" currencyCode: ""USD"" cultureName: ""en-US"" shipment: { shipmentMethodCode: ""FixedRate"" shipmentMethodOption: ""Ground"" price: 150 deliveryAddress: { city: ""New York"" countryCode: ""US"" countryName: ""United States"" firstName: ""Test"" lastName: ""User"" line1: ""123 Test St"" postalCode: ""10001"" regionId: ""NY"" regionName: ""New York"" } } }) { id } }
[SETUP] Set payment: mutation { addOrUpdateCartPayment(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" currencyCode: ""USD"" cultureName: ""en-US"" payment: { paymentGatewayCode: ""DefaultManualPaymentMethod"" } }) { id } }
[ACT] Click query editor → clear (Ctrl+A, Backspace)
[ACT] Type mutation: mutation { createOrderFromCart(command: { cartId: ""<CART_ID>"" }) { id number status } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result (up to 10s)
[READ] Read response — record orderId; verify errors[] empty
[VAR] orderId = data.createOrderFromCart.id
[ACT] Clear editor → type cart query to check cart state: query { cart(storeId: ""{{STORE_ID}}"" cartId: ""<CART_ID>"" currencyCode: ""USD"") { id status itemsCount } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — record cart state (null or inactive status)
[ACT] Clear editor → type addItem mutation targeting the converted cart: mutation { addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" cartId: ""<CART_ID>"" productId: ""{{TEST_SKU}}"" quantity: 1 currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify addItem response (should error or return null cart)
[ACT] Clear editor → type changeCartItemQuantity on converted cart: mutation { changeCartItemQuantity(command: { storeId: ""{{STORE_ID}}"" userId: ""<USER_ID>"" cartId: ""<CART_ID>"" lineItemId: ""any-id"" quantity: 5 currencyCode: ""USD"" cultureName: ""en-US"" }) { id itemsCount } }
[GQL] Click Execute (▶) or Ctrl+Enter
[WAIT] Response panel shows result
[READ] Read response — verify mutation fails gracefully","[DATA] createOrderFromCart: errors[] empty; valid non-empty orderId returned (BL-GQL-001)
[DATA] Cart query after order: data.cart is null OR cart.status indicates inactive/completed (not ""Active"")
[DATA] addItem on converted cart: returns errors[] with message referencing cart not found or cart already converted — NOT silent success (P0 guard: BL-CROSS-010)
[DATA] addItem on converted cart: does NOT increment any order's itemsCount
[DATA] changeCartItemQuantity on converted cart: returns error, not success
[ERRORS] Both post-order mutations: errors[] contains message, NOT a stack trace or null pointer exception","[ROUNDTRIP] Clear editor → type order query: query { order(id: ""<ORDER_ID>"") { id items { id } } } → execute → items[] count unchanged (no new items added via invalidated cart)
[ADMIN] Cart not modifiable in Admin after order creation; order items unchanged
[CONSOLE] No JS errors in GraphiQL","Silent success on addItem to converted cart (P0 violation: duplicate inventory decrement risk); cart query still shows active status; changeCartItemQuantity succeeds on converted cart; unhandled exception in mutation response","cancel/delete test order via Admin API {{BACK_URL}}/api/order/customerOrders/<ORDER_ID>","BL-CROSS-010",Generated
