"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"CMS-009","Verify Draft status badge in grid","Grid View","Medium",,,"Draft page exists; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)#/page-builder-draft
[ACT] Locate draft page in grid
[ASSERT] Verify Draft badge is displayed in Status column","Draft badge (pill) visible next to the page name in Status column; page may also show Personalized badge",,"No Draft badge visible; page appears in wrong lifecycle tab","none","C415407 C415436; Synced: PR #105 (2026-03-25)",
"CMS-010","Verify Published status badge in grid","Grid View","Medium",,,"Published page exists; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)#/page-builder-active
[ACT] Locate published page in grid
[ASSERT] Verify Published badge is displayed in Status column","Published badge (pill) visible in Status column; page may also show Scheduled and/or Personalized badges",,"No Published badge visible; page missing from Active tab","none","C415408 C415437; Synced: PR #105 (2026-03-25)",
"CMS-011","Verify Archived status badge in grid","Grid View","Medium",,,"Archived page exists; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)#/page-builder-archived
[ACT] Locate archived page in grid
[ASSERT] Verify Archived badge is displayed in Status column","Archived badge (pill) visible in Status column",,"No Archived badge visible; page missing from Archived tab","none","C415409 C415438; Synced: PR #105 (2026-03-25)",
"CMS-012","Verify Scheduled badge in grid","Grid View","Medium",,,"Page with scheduled dates (StartDate or EndDate) exists; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)#/page-builder-active (or Archived for expired)
[ACT] Locate page with scheduled dates in grid
[ASSERT] Verify Scheduled badge is displayed alongside Published badge in Status column","Scheduled badge (pill) visible next to Published badge for pages with date restrictions",,"No Scheduled badge visible on pages that have StartDate/EndDate configured; unexpected console error or 4xx/5xx network response","none","C415410 C415456; Synced: PR #105 (2026-03-25)",
"CMS-013","Verify Personalized badge in grid","Grid View","Medium",,,"Page with visibility=false or user group restrictions exists; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to any lifecycle tab in PageBuilder shell (Draft, Active, or Archived)
[ACT] Locate page with personalization settings (visibility off, user groups, or organization restrictions)
[ASSERT] Verify Personalized badge is displayed in Status column","Personalized badge (pill) visible in Status column alongside the page's lifecycle badge (Draft/Published/Archived)",,"No Personalized badge on pages that have visibility or user group restrictions configured; unexpected console error or 4xx/5xx network response","none","C415411 C415457; Synced: PR #105 (2026-03-25)",
"CMS-014","Grid columns display correctly","Grid View","Medium",,,"Multiple pages exist; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)#/page-builder-all
[ASSERT] Verify all grid columns are visible: Name, Language, Permalink, Modified, Modified by, Status","All 6 columns rendered with sortable headers; data populates correctly for each column",,"Missing columns; column data not rendering; sort not functional","none","C415412; Synced: PR #105 (2026-03-25)",
"CMS-015","Checkbox selection and bulk selection","Grid View","Medium",,,"Multiple pages exist; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to any lifecycle tab in PageBuilder shell
[ACT] Click individual row checkboxes to select pages
[ACT] Click Select All checkbox in header row
[ASSERT] Verify Archive toolbar button becomes enabled when pages are selected","Individual checkboxes toggle selection; Select All selects all visible rows; Archive button activates on selection",,"Checkboxes not clickable; Select All not working; Archive button stays disabled","none","C415414 C415415 C415416; Synced: PR #105 (2026-03-25)",
"CMS-016","Search functionality in page list","Grid View","High",,,"Multiple pages exist; PageBuilder shell open at ${BACK_URL}/apps/page-builder-shell/?storeId=@td(STORE_PRIMARY.id)",,"[NAV] Navigate to All Pages tab in PageBuilder shell
[ACT] Enter search term in Search field
[ASSERT] Verify filtered results display matching pages","Search filters page list to show only pages matching the keyword (by Name or Permalink); results update as user types",,"Search returns no results for valid terms; search field not present","none","C415420; Synced: PR #105 (2026-03-25)",
"CMS-027","Published page accessible on frontend (correct language)","Storefront Verification","Critical",,,"PAGE-1 published via CMS-006 OR PAGE-3 seeded (both EN+DE published)","PAGE-1: ${FRONT_URL}/qa-homepage-spring-sale; PAGE-3 EN: ${FRONT_URL}/en/qa-return-policy; PAGE-3 DE: ${FRONT_URL}/de/qa-return-policy (see test-data/cms/pagebuilder-pages.md)","[NAV] Navigate to ${FRONT_URL}/qa-homepage-spring-sale (PAGE-1, EN)
[ASSERT] Verify the page loads with HTTP 200 and all blocks render
[NAV] Navigate to ${FRONT_URL}/en/qa-return-policy (PAGE-3, EN) — verify EN title
[NAV] Navigate to ${FRONT_URL}/de/qa-return-policy (PAGE-3, DE) — verify DE title","Page renders at the correct URL with status 200; page title and content blocks match the published version; no 404 or error page displayed","API: GET /api/pages confirms page status=Published; Admin: page shows Published badge in Active tab","Page returns 404 or blank; content does not match published version; HTTP error in Network tab","none","C415460",
"CMS-028","Published page 404 on frontend - wrong language","Storefront Verification","Medium",,,"PAGE-3 seeded with EN+DE published; French NOT published","PAGE-3 from test-data/cms/pagebuilder-pages.md: ${FRONT_URL}/fr/qa-return-policy → expected 404","[NAV] Navigate to ${FRONT_URL}/fr/qa-return-policy (French not published for PAGE-3)
[ASSERT] Verify page is not accessible","Page returns 404 or redirects to 404 page; no content from the EN or DE version is served under /fr/ prefix",,"Page loads successfully in wrong language; English/German content served under /fr/ prefix","none","C415461",
