"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"ORDA-001","Create new order","Orders > Order Management","Critical",,,"Admin logged in to Backend",,"1. Navigate to Orders module
2. Click 'Add' or create new order
3. Fill in order details (customer, store, items)
4. Click 'Create'
5. Verify order in list",,,,,"C169605",
"ORDA-002","View and edit order details","Orders > Order Management","High",,,"Admin logged in to Backend
Order exists [ORDA-001]",,"1. Navigate to Orders module
2. Select and click on existing order
3. Verify order details blade opens in editable format
4. Change any fields
5. Click 'Save'
6. Reopen blade with Order details",,,,,"C169801",
"ORDA-003","Delete order","Orders > Order Management","High",,,"Admin logged in to Backend
Order exists [ORDA-001]",,"1. Navigate to Orders module
2. Select order to delete
3. Click 'Delete'
4. Confirm deletion",,,,,"C169823",
"ORDA-004","Line items widget","Orders > Order Widgets","High",,,"Admin logged in to Backend
Order exists with line items",,"1. Open order details
2. Click on Line items widget
3. Verify line item details display",,,,,"C169805",
"ORDA-005","Addresses widget","Orders > Order Widgets","High",,,"Admin logged in to Backend
Order exists",,"1. Open order details
2. Click on Addresses widget
3. Verify shipping and billing addresses",,,,,"C169807",
"ORDA-006","Comments widget","Orders > Order Widgets","Medium",,,"Admin logged in to Backend
Order exists",,"1. Open order details
2. Click on Comments widget
3. Add a comment
4. Save",,,,,"C169808",
"ORDA-007","Dynamic properties widget","Orders > Order Widgets","Medium",,,"Admin logged in to Backend
Order exists",,"1. Open order details
2. Click on Dynamic properties widget
3. Verify 'Manage dynamic properties' blade opens
4. Modify a property value
5. Save",,,,,"C169809",
"ORDA-008","Changes widget","Orders > Order Widgets","Medium",,,"Admin logged in to Backend
Order exists with modifications",,"1. Open order details
2. Click on Changes widget
3. Verify change history",,,,,"C169806",
"ORDA-009","Get invoice","Orders > Order Management","Medium",,,"Admin logged in to Backend
Order exists",,"1. Open order details
2. Click 'Get Invoice'
3. Verify PDF generation",,,,,"C169824",
"ORDA-010","Create new document","Orders > Order Management","High",,,"Admin logged in to Backend
Order exists",,"1. Open order details
2. Click 'Create new document'
3. Select document type
4. Fill in details
5. Save",,,,,"C169822",
"ORDA-011","Create order with configuration items","Orders > Configurable Products","High",,,"Admin logged in to Backend
Configurable products exist",,"1. Create an order with configuration items
2. Verify order created
3. Open line item details blade
4. Verify View, Configuration, Discounts, Dynamic properties tabs",,,,,"C396953 C396954 C396955 C396956 C396957",
"ORDA-031","Create organization and Order Manager role","Orders > Employee Assignment","High",,,"Admin logged in to Backend",,"1. Create Organization1 with sub-organization
2. Add employees to both organizations
3. Create role 'Order Manager' with order permissions
4. Assign role to employees",,,,,"C358272 C358243",
"ORDA-032","Assign employee from root organization as order responsible","Orders > Employee Assignment","High",,,"Admin logged in to Backend
Organization with employees [ORDA-031]",,"1. Open order details
2. Assign employee1 from root Organization as order responsible
3. Login as employee1
4. Verify employee sees only assigned orders",,,,,"C358248 C358244",
"ORDA-033","Assign employee from sub-organization as order responsible","Orders > Employee Assignment","High",,,"Admin logged in to Backend
Organization with sub-org and employees [ORDA-031]",,"1. Open order details
2. Assign employee1 from sub-organization as order responsible
3. Login as employee1
4. Verify employee sees only assigned orders",,,,,"C358250 C358268",
"ORDA-034","Update order assignment to different employee","Orders > Employee Assignment","Medium",,,"Admin logged in to Backend
Order assigned to employee [ORDA-032]",,"1. Open order details
2. Change assignment to employee2 from root organization
3. Verify assignment updated
4. Change assignment to employee2 from sub-organization
5. Verify assignment updated",,,,,"C358251 C358252",
"ORDA-035","Assign order to employee without order permission","Orders > Employee Assignment","Medium",,,"Admin logged in to Backend
Employee without order permissions exists",,"1. Open order details
2. Assign order to employee without permissions
3. Verify behavior",,,,,"C358275",
"ORDA-036","Shipment assigned employee","Orders > Employee Assignment","Medium",,,"Admin logged in to Backend
Employee assignments configured [ORDA-031]",,"1. Open shipment document
2. Assign employee from root organization
3. Assign employee from sub-organization
4. Verify assignments",,,,,"C358256 C358257",
"ORDA-037","Filter orders by assigned employee","Orders > Employee Assignment","Medium",,,"Admin logged in to Backend
Orders assigned to employees",,"1. Open Orders module
2. Add filter > 'Assigned to'
3. Filter by employee from root organization
4. Verify filtered results
5. Filter by employee from sub-organization
6. Verify filtered results",,,,,"C358254 C358255",
"ORDA-038","Validate order fields","Orders > Validation","Medium",,,"Admin logged in to Backend (API/Swagger)",,"1. Test order validation for fields: Number, CustomerId, CustomerName, StoreId, StoreName, ChannelId, OrganizationId, OrganizationName, EmployeeId, EmployeeName, SubscriptionId, SubscriptionNumber, LanguageCode, ShoppingCardId, PurchaseOrderNumber
2. Submit invalid values for each field
3. Verify validation errors",,,,,"C301875-C301889 C295632 C301874",
"ORDA-039","Validate payment fields","Orders > Validation","Medium",,,"Admin logged in to Backend (API/Swagger)",,"1. Test payment validation for fields: OrganizationId, OrganizationName, CustomerId, CustomerName, Purpose, GatewayCode, TaxType
2. Submit invalid values for each field
3. Verify validation errors",,,,,"C301890-C301896",
"ORDA-040","Search by keyword and term","Orders > Search","Medium",,,"Admin logged in to Backend
Multiple orders exist
Order indexing enabled",,"1. Navigate to Orders module
2. Search by keyword
3. Verify results
4. Search by term
5. Verify results",,,,,"C293761 C293762",
"ORDA-041","Search by date/time range","Orders > Search","Medium",,,"Admin logged in to Backend
Multiple orders exist",,"1. Navigate to Orders module
2. Set date/time range filter
3. Verify filtered results",,,,,"C293764",
"ORDA-042","Order index widget and reindex","Orders > Search","Medium",,,"Admin logged in to Backend
Order indexing enabled",,"1. Open order details
2. Verify Index widget is visible
3. Trigger reindex
4. Verify reindex completes",,,,,"C293763 C293760",
"ORDA-043","Enable/Disable order index setting","Orders > Search","Medium",,,"Admin logged in to Backend",,"1. Open Settings > Orders
2. Disable 'Order Index' > Save
3. Open order > Verify Index widget hidden
4. Enable 'Order Index' > Save
5. Open order > Verify Index widget shown",,,,,"C293162 C293163",
"ORDA-044","Number template with datetime {0}","Orders > Number Generation","Medium",,,"Admin logged in to Backend",,"1. Open Settings > Orders > Order number template
2. Set template: {0}
3. Create new order
4. Verify order number",,,,,"C380814",
"ORDA-045","Number template with sequential {1} and padded CO{1:D5}","Orders > Number Generation","Medium",,,"Admin logged in to Backend",,"1. Set template: {1} > Create two orders > Verify sequential numbers (1, 2)
2. Set template: CO{1:D5} > Create two orders > Verify padded numbers (CO00001, CO00002)",,,,,"C380815 C380816",
"ORDA-046","Number template with date+padded and weekly reset","Orders > Number Generation","Medium",,,"Admin logged in to Backend",,"1. Set template: CO-{0:yyMMdd}-{1:D5} > Create orders > Verify format
2. Set template: PO{0:yyMMdd}-{1:D5}@Weekly:1:10 > Create orders > Verify weekly reset",,,,,"C380817 C380818",
"ORDA-047","Notifications widget (view and refresh and resend)","Orders > Notifications","Medium",,,"Admin logged in to Backend
Order with notifications exists",,"1. Open order details
2. Click Notifications widget > Verify notifications display
3. Click Refresh > Verify updated state
4. Click Resend on a notification > Verify new email sent",,,,,"C292301 C292302 C292303",
"ORDA-048","Order paid/sent notification settings","Orders > Notifications","Medium",,,"Admin logged in to Backend",,"1. Enable 'Use order paid and order sent notifications'
2. Process order through paid > sent workflow
3. Verify notifications generated",,,,,"C357126",
